------- 2018-09-06 03:06:09.194458 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,NO DAMAGING ,   19525.214,         237,        1000,0           ,     279.542,           0,           0
SPECIAL     ,NO DAMAGING ,   19525.214,         237,        1000,0           ,     499.969,          20,           0
SPECIAL     ,NO DAMAGING ,   19525.214,         237,        1000,0           ,     415.020,           8,           0
OMNICIENT   ,SINGLE CELL ,   19525.214,         237,        1000,0           ,     283.677,           0,          10
OMNICIENT   ,SINGLE CELL ,   19525.214,         237,        1000,0           ,     281.313,           0,          10
------- 2018-09-07 16:41:04.272683 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 16:45:57.755046 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    7298.559,         159,        1000,0           ,     229.188,           0,           0
OMNICIENT   ,SINGLE CELL ,    7298.559,         159,        1000,0           ,     183.428,           0,          10
OMNICIENT   ,SINGLE CELL ,    7298.559,         159,        1000,0           ,     219.135,           0,          10
------- 2018-09-07 16:50:33.539522 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 16:52:09.086922 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 16:52:56.308966 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 16:54:04.994713 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    3773.082,         119,        1000,0           ,    1397.115,         273,           0
------- 2018-09-07 16:56:03.331114 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,SINGLE CELL ,    7760.628,         178,        1000,0           ,     858.757,           0,          10
------- 2018-09-07 16:56:45.485050 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,NO DAMAGING ,   17931.631,         162,        1000,0           ,     654.379,          13,           0
OMNICIENT   ,NO DAMAGING ,   17931.631,         162,        1000,0           ,     502.835,           0,           0
SPECIAL     ,NO DAMAGING ,   17931.631,         162,        1000,0           ,    1010.788,           6,           0
SPECIAL     ,NO DAMAGING ,   17931.631,         162,        1000,0           ,     790.461,          13,           0
OMNICIENT   ,SINGLE CELL ,   17931.631,         162,        1000,0           ,     500.227,           0,           9
OMNICIENT   ,SINGLE CELL ,   17931.631,         162,        1000,0           ,     519.276,           0,           9
------- 2018-09-07 17:00:44.669404 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,SINGLE CELL ,   10483.136,         168,        1000,0           ,     105.585,           0,          10
------- 2018-09-07 17:01:12.879284 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 17:03:56.465789 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 17:05:00.626913 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 17:05:29.417381 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,self.my_maze.create_weights_learned(rat, reward_row, reward_col)
OMNICIENT   ,NO DAMAGING ,    6518.173,         155,        1000,0           ,     981.923,           0,           0
OMNICIENT   ,NO DAMAGING ,    6518.173,         155,        1000,0           ,     962.774,           0,           0
SPECIAL     ,NO DAMAGING ,    6518.173,         155,        1000,0           ,    1914.806,         125,           0
SPECIAL     ,NO DAMAGING ,    6518.173,         155,        1000,0           ,    2402.678,         186,           0
------- 2018-09-07 17:10:05.473532 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 17:10:36.431457 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    7703.457,         151,        1000,0           ,     227.284,           0,           0
------- 2018-09-07 17:11:04.097095 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    8125.761,         166,        1000,0           ,    1864.397,          55,           0
------- 2018-09-07 17:14:42.439755 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,   67456.520,         623,       10000,0           ,    1379.343,           0,           0
------- 2018-09-07 17:20:31.572526 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,SINGLE CELL ,    4879.672,         142,        1000,0           ,     665.424,          34,           1
------- 2018-09-07 17:24:19.452922 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-07 17:24:35.805412 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    2685.437,          72,        1000,0           ,     260.303,           0,           0
SPECIAL     ,NO DAMAGING ,    2685.437,          72,        1000,0           ,     604.469,          93,           0
------- 2018-09-07 17:25:34.764204 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,   26908.663,         485,        4000,0           ,    1254.811,           0,           0
SPECIAL     ,NO DAMAGING ,   26908.663,         485,        4000,0           ,    1239.727,           0,           0
------- 2018-09-07 17:27:47.311287 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,   10368.498,         156,        1000,0           ,     925.631,          36,           0
SPECIAL     ,NO DAMAGING ,   10368.498,         156,        1000,0           ,    1550.514,          91,           0
------- 2018-09-07 17:30:07.367217 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    8406.077,         181,        1000,0           ,    1934.293,           8,           0
------- 2018-09-08 19:00:37.542740 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
SPECIAL     ,NO DAMAGING ,    8999.930,         255,        1000,0           ,     369.933,           2,           0
SPECIAL     ,NO DAMAGING ,    8999.930,         255,        1000,0           ,     693.680,          57,           0
SPECIAL     ,NO DAMAGING ,    8999.930,         255,        1000,0           ,     392.098,           3,           0
SPECIAL     ,NO DAMAGING ,    8999.930,         255,        1000,0           ,     385.713,           5,           0
SPECIAL     ,NO DAMAGING ,    8999.930,         255,        1000,0           ,     382.076,           6,           0
------- 2018-09-08 19:09:50.201721 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,    9679.027,         193,        1000,0           ,     675.333,           0,          10
OMNICIENT   ,SINGLE CELL ,    9679.027,         193,        1000,0           ,    2639.395,          91,          10
------- 2018-09-08 19:10:58.449340 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:12:16.186376 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:12:49.454096 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:13:43.597772 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,    6533.251,         116,        1000,0           ,      36.691,           0,          10
SPECIAL     ,SINGLE CELL ,    6533.251,         116,        1000,0           ,      38.152,           0,          10
------- 2018-09-08 19:14:33.515722 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,    4800.143,         138,        1000,0           ,    1744.964,          44,          10
SPECIAL     ,SINGLE CELL ,    4800.143,         138,        1000,1           ,    3974.725,           0,          10
------- 2018-09-08 19:15:28.837181 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:18:00.143676 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:21:08.634833 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:23:54.076422 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:29:49.269746 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:30:34.010978 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,       0.000,           1,           0,1           ,    2233.934,         256,          10
------- 2018-09-08 19:31:10.398905 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,   10007.741,         262,        1000,0           ,    1074.738,           0,          10
SPECIAL     ,SINGLE CELL ,   10007.741,         262,        1000,1           ,    5767.404,          42,          10
OMNICIENT   ,SINGLE CELL ,   10007.741,         262,        1000,1           ,    1251.167,         106,          10
------- 2018-09-08 19:34:43.618553 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:37:33.871750 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:39:30.173443 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,    9090.025,         189,        1000,0           ,     894.117,           0,          10
------- 2018-09-08 19:41:17.608610 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 19:41:59.943706 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,SINGLE CELL ,    5739.188,         154,        1000,0           ,    1437.676,           6,           1
------- 2018-09-08 19:43:28.357591 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-08 21:06:49.058214 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
